Main General;;;Covenant;;;;Skill Books (Level 4) Not Calculated;;;;Main Skill;;;;Full Ascension;;;;Full Specialties;;;;Full Covenant/Skin;;;;Attributes;;;Totals;;;;;Base Stats;;;;;;Base Growth;;;;;;;Rally Spot;Attack;Base Atk
#;A/U;General;MC;C1;C2;C3;ATK %;DEF %;HP %;MS %;ATK;DEF;HP;MS;ATK2;DEF3;HP4;MS5;ATK6;DEF7;HP8;MS9;ATK10;DEF11;HP12;MS13;ATK14;DEF15;HP16;ATK17;DEF18;HP19;MS20;Inc ATK;ATK18;DEF182; LDR ;TOTAL ATK18;TOTAL DEF182;TOTAL LDR;ATK19;DEF4;LDR5;TOTAL ATK;TOTAL DEF;TOTAL LDR2;; 660.000 ; 3.570 ; 278.521.047.000 
#1;A;Vercingetorix;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 60 ; 60 ; 40 ; -   ; 150 ; 100 ; 125 ; 10 ; 85 ; 75 ; 10 ; 6 ; 20 ; 15 ; 10 ; 10 ; 264 ; 245 ; 247 ; 519 ; 435 ; 392 ; 26 ;84,91B; 135 ; 128 ; 130 ; 1.770,98 ; 1.677,37 ; 1.686,29 ; 9,68 ; 8,92 ; 8,98 ; 24,09 ; 22,20 ; 22,35 ;; 3.055.100 ; 71.400 ;
#2;A;Lorenzo de' Medici;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 60 ; 60 ; 45 ; -   ; 145 ; 105 ; 75 ; 13 ; 75 ; 55 ; 65 ; 6 ; 27 ; 18 ; 15 ; 5 ; 260 ; 242 ; 249 ; 507 ; 420 ; 404 ; 24 ;81,97B; 133 ; 126 ; 130 ; 1.749,58 ; 1.660,50 ; 1.696,50 ; 9,51 ; 8,79 ; 9,07 ; 23,66 ; 21,87 ; 22,57 ;;;;
#3;U;Niccolo Piccinino;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 60 ; 45 ; 60 ; -   ; 130 ; 95 ; 125 ; 8 ; 80 ; 20 ; 45 ; 8 ; 23 ; 20 ; 20 ; 8 ; 257 ; 250 ; 245 ; 490 ; 385 ; 435 ; 24 ;79,60B; 134 ; 131 ; 127 ; 1.733,63 ; 1.699,83 ; 1.672,90 ; 9,36 ; 9,09 ; 8,89 ; 23,29 ; 22,62 ; 22,12 ;;Troop Tier; T14 ;
#4;A;Narcissus;Y;Y;N;N; 25 ; 25 ; 25 ; 12 ; 50 ; 40 ; 50 ; -   ; 120 ; 70 ; 80 ; 18 ; 60 ; 50 ; 50 ; -   ; 15 ; 15 ; 30 ; 5 ; 260 ; 254 ; 256 ; 455 ; 389 ; 416 ; 23 ;74,20B; 141 ; 135 ; 138 ; 1.750,12 ; 1.721,08 ; 1.732,20 ; 9,44 ; 9,24 ; 9,31 ; 23,49 ; 22,99 ; 23,17 ;;Rally Sppot Level; RS 42 ;
#5;U;Gao Changgong;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 55 ; 55 ; 40 ; -   ; 125 ; 90 ; 65 ; 8 ; 75 ; 55 ; 20 ; 8 ; 15 ; 10 ; 5 ; 6 ; 238 ; 243 ; 247 ; 453 ; 398 ; 337 ; 22 ;73,29B; 123 ; 125 ; 130 ; 1.639,17 ; 1.666,25 ; 1.684,02 ; 8,63 ; 8,85 ; 8,96 ; 21,47 ; 22,02 ; 22,30 ;;Buff %; 2.000 ;
#6;A;Louis II;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 55 ; 40 ; 55 ; -   ; 135 ; 100 ; 115 ; 10 ; 70 ; 60 ; 60 ; -   ; 15 ; 20 ; 10 ; 8 ; 245 ; 240 ; 245 ; 465 ; 420 ; 430 ; 18 ;72,58B; 129 ; 127 ; 129 ; 1.676,16 ; 1.649,08 ; 1.676,16 ; 8,90 ; 8,68 ; 8,90 ; 22,15 ; 21,60 ; 22,15 ;;RS Buffed; 3.055.100 ;
#7;U;Francis I of France;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 60 ; 60 ; 45 ; -   ; 110 ; 120 ; 105 ; 8 ; 75 ; 55 ; 55 ; -   ; 20 ; 15 ; 10 ; 10 ; 256 ; 237 ; 250 ; 461 ; 427 ; 420 ; 18 ;71,98B; 133 ; 122 ; 128 ; 1.729,17 ; 1.635,85 ; 1.700,05 ; 9,33 ; 8,61 ; 9,12 ; 23,22 ; 21,42 ; 22,69 ;;General Lvl; 44 ;
#8;A;Alexander Hamilton;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 55 ; 35 ; 35 ; -   ; 130 ; 100 ; 95 ; 10 ; 70 ; 60 ; 50 ; -   ; 20 ; 5 ; 10 ; 8 ; 241 ; 246 ; 240 ; 461 ; 411 ; 395 ; 18 ;71,97B; 125 ; 129 ; 123 ; 1.653,77 ; 1.679,56 ; 1.651,65 ; 8,74 ; 8,93 ; 8,74 ; 21,75 ; 22,22 ; 21,75 ;;Victory Column; VC 6 ;0,06
#9;A;Charles V;Y;N;Y;Y; 25 ; 25 ; 25 ; 12 ; 50 ; 50 ; 35 ; -   ; 120 ; 100 ; 85 ; 10 ; 70 ; 55 ; 45 ; -   ; 15 ; 20 ; 5 ; 6 ; 244 ; 239 ; 243 ; 449 ; 414 ; 378 ; 16 ;69,20B; 129 ; 124 ; 128 ; 1.671,62 ; 1.644,77 ; 1.664,89 ; 8,86 ; 8,67 ; 8,81 ; 22,05 ; 21,57 ; 21,92 ;;;;
