Main General;;;Covenant;;;;Skill Books (Level 4) Not Calculated;;;;Main Skill;;;;Full Ascension;;;;Full Specialties;;;;Full Covenant/Skin;;;;Attributes;;;Totals;;;;;Base Stats;;;;;;Base Growth;;;;;;;Rally Spot;Attack;Base Atk
#;A/U;General;MC;C1;C2;C3;ATK %;DEF %;HP %;MS %;ATK;DEF;HP;MS;ATK2;DEF3;HP4;MS5;ATK6;DEF7;HP8;MS9;ATK10;DEF11;HP12;MS13;ATK14;DEF15;HP16;ATK17;DEF18;HP19;MS20;Inc ATK;ATK18;DEF182;LDR;TOTAL ATK18;TOTAL DEF182;TOTAL LDR;ATK19;DEF4;LDR5;TOTAL ATK;TOTAL DEF;TOTAL LDR2;; 660.000 ; 1.940 ; 151.353.174.000 
#1;A;Romulus;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 55 ; 35 ; 55 ; -   ; 150 ; 115 ; 100 ; 12 ; 85 ; 10 ; 55 ; 8 ; 25 ; 10 ; 33 ; 8 ; 245 ; 241 ; 248 ; 505 ; 376 ; 436 ; 28 ;45,70B; 128 ; 125 ; 132 ; 1.672,83 ; 1.654,90 ; 1.689,54 ; 8,88 ; 8,75 ; 8,99 ; 22,10 ; 21,77 ; 22,37 ;; 3.055.100 ; 38.800 ;
#2;U;Daniel Morgan;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 60 ; 45 ; 60 ; -   ; 120 ; 65 ; 115 ; 10 ; 85 ; 65 ; 20 ; 8 ; 20 ; 20 ; 10 ; 7 ; 259 ; 236 ; 247 ; 484 ; 386 ; 392 ; 25 ;43,14B; 134 ; 124 ; 125 ; 1.743,84 ; 1.627,76 ; 1.684,39 ; 9,45 ; 8,52 ; 9,01 ; 23,51 ; 21,20 ; 22,42 ;;;;
#3;A;Olaf Skotkonung;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 60 ; 60 ; 45 ; -   ; 145 ; 130 ; 115 ; 10 ; 75 ; 65 ; 65 ; -   ; 15 ; 20 ; 15 ; 8 ; 253 ; 241 ; 247 ; 488 ; 456 ; 442 ; 18 ;41,15B; 132 ; 125 ; 127 ; 1.715,63 ; 1.652,64 ; 1.684,24 ; 9,22 ; 8,73 ; 8,99 ; 22,94 ; 21,72 ; 22,37 ;;Troop Tier; T11 ;
#4;U;Hersilia;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 55 ; 55 ; 40 ; -   ; 130 ; 120 ; 95 ; -   ; 80 ; 50 ; 40 ; 6 ; 28 ; 21 ; 10 ; 10 ; 244 ; 240 ; 236 ; 482 ; 431 ; 381 ; 16 ;40,07B; 133 ; 126 ; 121 ; 1.672,46 ; 1.650,29 ; 1.630,25 ; 8,83 ; 8,70 ; 8,57 ; 21,97 ; 21,65 ; 21,32 ;;Rally Sppot Level; RS 42 ;
#5;A;Kiso Yoshinaka;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 55 ; 55 ; 40 ; -   ; 140 ; 130 ; 80 ; 8 ; 80 ; 60 ; 50 ; -   ; 15 ; 10 ; 10 ; 8 ; 244 ; 239 ; 241 ; 479 ; 439 ; 381 ; 16 ;39,83B; 132 ; 121 ; 124 ; 1.671,40 ; 1.642,72 ; 1.657,25 ; 8,83 ; 8,68 ; 8,78 ; 21,97 ; 21,60 ; 21,85 ;;Buff %; 2.000 ;
#6;A;Theobald I;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 45 ; 40 ; 45 ; -   ; 120 ; 65 ; 60 ; 22 ; 65 ; 55 ; 45 ; -   ; 15 ; 10 ; 10 ; -   ; 251 ; 253 ; 257 ; 451 ; 383 ; 372 ; 22 ;39,70B; 128 ; 131 ; 135 ; 1.705,72 ; 1.713,44 ; 1.733,55 ; 9,17 ; 9,21 ; 9,35 ; 22,82 ; 22,92 ; 23,27 ;;RS Buffed; 3.055.100 ;
#7;U;Stephen II;Y;N;N;Y; -   ; 25 ; 25 ; 12 ; 50 ; 40 ; 40 ; -   ; 125 ; 95 ; 80 ; 8 ; 75 ; 40 ; 50 ; -   ; 10 ; 5 ; 10 ; 10 ; 251 ; 243 ; 245 ; 461 ; 383 ; 385 ; 18 ;39,15B; 134 ; 128 ; 131 ; 1.706,41 ; 1.666,02 ; 1.676,01 ; 9,12 ; 8,82 ; 8,88 ; 22,69 ; 21,95 ; 22,10 ;;General Lvl; 44 ;
#8;U;Shapur I;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 55 ; 40 ; 55 ; -   ; 125 ; 75 ; 110 ; 6 ; 85 ; 50 ; 60 ; -   ; 10 ; 10 ; 10 ; 10 ; 247 ; 242 ; 240 ; 467 ; 377 ; 420 ; 16 ;38,88B; 132 ; 123 ; 127 ; 1.682,74 ; 1.661,86 ; 1.647,95 ; 8,93 ; 8,83 ; 8,67 ; 22,22 ; 21,97 ; 21,57 ;;Victory Column; VC 6 ;0,06
#9;U;Maurice de Saxe;Y;N;N;N; -   ; 25 ; 25 ; 12 ; 45 ; 35 ; 35 ; -   ; 120 ; 65 ; 45 ; 16 ; 75 ; 50 ; 40 ; -   ; 10 ; 5 ; 10 ; -   ; 240 ; 251 ; 243 ; 445 ; 371 ; 338 ; 16 ;37,28B; 117 ; 131 ; 121 ; 1.649,83 ; 1.704,36 ; 1.664,27 ; 8,78 ; 9,13 ; 8,87 ; 21,85 ; 22,72 ; 22,07 ;;;;
