Main General;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Total Mounted;;;Total Ground;;;Total Ranged;;;Total Siege;;;Overall;;;;;Attributes;;;Base Stats;;;;;;Base Growth;;;;;;;General Lvl; 44 ;
#;General;ATK;DEF;HP;ATK2;DEF3;HP4;ATK5;DEF6;HP7;ATK8;DEF9;HP10;ATK11;DEF12;HP13;ATK14;DEF15;HP16;ATK17;DEF18;HP19;ATK20;DEF21;HP22;ATK23;DEF24;HP25;ATK26;DEF27;HP28;ATK29;DEF30;HP31;ATK32;DEF33;HP34;ATK232;DEF243;HP254;ATK265;DEF276;HP287;ATK298;DEF309;HP3110;ATK3211;DEF3312;HP3413;ATK35;DEF36;HP37;ATK38;DEF39;HP40;ATK41;DEF42;HP43;ATK44;DEF45;HP46;Totals;Mounted;Ground;Ranged;Siege;ATK1414;DEF1515;HP1616;ATK18;DEF182;LDR;TOTAL ATK18;TOTAL DEF182;TOTAL LDR;ATK19;DEF4;LDR5;TOTAL ATK;TOTAL DEF;TOTAL LDR2;;Victory Column; VC 6 ;0,06
#1;*Zhou Yu; -   ; 20 ; 20 ; -   ; 20 ; 20 ; 40 ; -   ; -   ; 40 ; -   ; -   ; 35 ; 40 ; 40 ; 35 ; 40 ; 40 ; 80 ; 45 ; 30 ; 80 ; 45 ; 30 ; 37 ; -   ; -   ; 37 ; -   ; -   ; 37 ; 25 ; 25 ; 47 ; 25 ; 35 ; 10 ; 10 ; 20 ; 10 ; 10 ; 20 ; 10 ; 10 ; 20 ; 10 ; 10 ; 20 ; 325 ; 293 ; 304 ; 325 ; 293 ; 304 ; 370 ; 323 ; 319 ; 380 ; 323 ; 329 ; 3.887 ; 922 ; 922 ; 1.012 ; 1.032 ; 243 ; 243 ; 244 ; 128 ; 128 ; 128 ; 1.666,02 ; 1.663,76 ; 1.669,43 ; 8,82 ; 8,80 ; 8,85 ; 21,95 ; 21,90 ; 22,02 ;;;;
#2;*Takenaka; -   ; 45 ; -   ; -   ; 45 ; -   ; -   ; -   ; -   ; 50 ; -   ; -   ; -   ; 60 ; 60 ; -   ; 60 ; 60 ; -   ; 40 ; 40 ; 115 ; 40 ; 40 ; 6 ; 30 ; -   ; 6 ; 30 ; -   ; 6 ; 30 ; -   ; 46 ; 40 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 245 ; 339 ; 303 ; 245 ; 339 ; 303 ; 245 ; 319 ; 283 ; 400 ; 329 ; 293 ; 3.644 ; 887 ; 887 ; 847 ; 1.022 ; 239 ; 249 ; 243 ; 114 ; 115 ; 120 ; 1.644,38 ; 1.696,48 ; 1.665,48 ; 8,76 ; 9,21 ; 8,89 ; 21,80 ; 22,92 ; 22,12 ;;;;
#3;Niccolo Piccinino; -   ; 45 ; -   ; 60 ; 45 ; 60 ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 60 ; 15 ; 130 ; 95 ; 125 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 80 ; 20 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 287 ; 310 ; 260 ; 472 ; 375 ; 425 ; 257 ; 250 ; 245 ; 257 ; 250 ; 245 ; 3.630 ; 856 ; 1.271 ; 751 ; 751 ; 257 ; 250 ; 245 ; 134 ; 131 ; 127 ; 1.733,63 ; 1.699,83 ; 1.672,90 ; 9,36 ; 9,09 ; 8,89 ; 23,29 ; 22,62 ; 22,12 ;;;;
#4;*Isaac Brock; 30 ; -   ; 30 ; 50 ; 20 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; 35 ; 10 ; 45 ; 90 ; 50 ; 65 ;; 25 ; 25 ;; 25 ; 25 ; 6 ; -   ; 10 ; 56 ; 35 ; 30 ; 6 ; -   ; 10 ; 6 ; -   ; 10 ; 5 ; 10 ; 10 ; 35 ; 20 ; 20 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ; 289 ; 263 ; 309 ; 424 ; 348 ; 359 ; 254 ; 273 ; 284 ; 254 ; 273 ; 284 ; 3.615 ; 861 ; 1.131 ; 811 ; 811 ; 243 ; 243 ; 244 ; 118 ; 118 ; 118 ; 1.666,77 ; 1.664,50 ; 1.670,17 ; 8,92 ; 8,90 ; 8,95 ; 22,20 ; 22,15 ; 22,27 ;;;;
#5;Hersilia; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; 55 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 10 ; 10 ; 130 ; 120 ; 95 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; 30 ; 70 ; 50 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 16 ; -   ; 38 ; 21 ; 10 ; 244 ; 240 ; 236 ; 244 ; 240 ; 236 ; 279 ; 296 ; 276 ; 482 ; 431 ; 381 ; 3.587 ; 721 ; 721 ; 852 ; 1.295 ; 244 ; 240 ; 236 ; 133 ; 126 ; 121 ; 1.672,46 ; 1.650,29 ; 1.630,25 ; 8,83 ; 8,70 ; 8,57 ; 21,97 ; 21,65 ; 21,32 ;;;;
#6;Visconti; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 60 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 120 ; 120 ; 75 ; 15 ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; 85 ; 65 ; 65 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 15 ; 10 ; -   ; -   ; -   ; 257 ; 236 ; 248 ; 257 ; 236 ; 248 ; 467 ; 436 ; 398 ; 282 ; 251 ; 263 ; 3.575 ; 740 ; 740 ; 1.300 ; 795 ; 257 ; 236 ; 248 ; 133 ; 123 ; 129 ; 1.732,57 ; 1.628,97 ; 1.688,63 ; 9,36 ; 8,54 ; 9,01 ; 23,29 ; 21,25 ; 22,42 ;;;;
#7;Henry IV; 55 ; 40 ; 55 ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 115 ; 100 ; 100 ; -   ; 40 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; 75 ; 65 ; 65 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 445 ; 413 ; 423 ; 255 ; 278 ; 273 ; 245 ; 238 ; 248 ; 245 ; 238 ; 248 ; 3.552 ; 1.282 ; 807 ; 732 ; 732 ; 245 ; 238 ; 248 ; 128 ; 127 ; 129 ; 1.676,23 ; 1.642,28 ; 1.689,77 ; 8,91 ; 8,62 ; 9,02 ; 22,17 ; 21,45 ; 22,44 ;;;;
#8;Hermes; 50 ; -   ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 105 ; 70 ; 120 ; 20 ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 50 ; 20 ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 434 ; 368 ; 391 ; 304 ; 318 ; 281 ; 244 ; 238 ; 241 ; 244 ; 238 ; 241 ; 3.543 ; 1.193 ; 903 ; 723 ; 723 ; 244 ; 238 ; 241 ; 128 ; 123 ; 126 ; 1.668,29 ; 1.641,44 ; 1.655,96 ; 8,84 ; 8,65 ; 8,75 ; 22,00 ; 21,52 ; 21,77 ;;;;
#9;Lucilla; 50 ; -   ; -   ; 50 ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; -   ; 10 ; 90 ; 75 ; 65 ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 51 ; 35 ; 45 ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; 30 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 300 ; 254 ; 271 ; 415 ; 374 ; 381 ; 250 ; 254 ; 261 ; 250 ; 254 ; 261 ; 3.526 ; 825 ; 1.170 ; 765 ; 765 ; 244 ; 254 ; 261 ; 125 ; 136 ; 144 ; 1.671,92 ; 1.719,87 ; 1.754,44 ; 8,90 ; 9,22 ; 9,45 ; 22,15 ; 22,94 ; 23,51 ;;;;
